Account,Ticker,Qty,AvgPrice
기본 계좌 (토스),498400,440,11413
기본 계좌 (토스),441640,450,11941
기본 계좌 (토스),148020,70,55683
기본 계좌 (토스),426030,100,36467
기본 계좌 (토스),444200,100,29077
기본 계좌 (토스),472150,225,14064
기본 계좌 (토스),494670,60,29216
기본 계좌 (토스),487240,70,24934
기본 계좌 (토스),490590,120,13268
기본 계좌 (토스),139230,80,15573
기본 계좌 (토스),498410,100,11635
기본 계좌 (토스),446770,20,49925
기본 계좌 (토스),463250,21,37775
기본 계좌 (토스),441800,36,20723
기본 계좌 (토스),491620,64,11161
기본 계좌 (토스),473460,27,24709
기본 계좌 (토스),390390,1,33370
기본 계좌 (토스),476850,1,15145
기본 계좌 (토스),0144L0,1,10110
한투 계좌 (ISA),441640,1128,12054
한투 계좌 (ISA),480040,200,12280
한투 계좌 (ISA),426030,33,34259
한투 계좌 (ISA),494300,168,9968
한투 계좌 (ISA),490600,141,8747
한투 계좌 (ISA),491620,200,10890
한투 계좌 (ISA),480020,200,12725
한투 계좌 (ISA),483280,94,12630
한투 계좌 (ISA),0144L0,200,9770
한투 계좌 (ISA),490590,200,13195
한투 계좌 (ISA),474220,550,16292
한투 계좌 (연저),441640,73,12522
한투 계좌 (연저),490600,110,8656
한투 계좌 (연저),0144L0,171,9774
한투 계좌 (연저),483280,89,12648
한투 계좌 (연저),491620,220,11049
한투 계좌 (연저),494300,56,10265
한투 계좌 (연저),490590,342,14077
